disease_id,disease_name,crop,symptoms,solution_text,chemical_recommendations,organic_recommendations,notes
diseased_rice,Rice Disease,Rice,"Brown lesions on leaves","Improve spacing.","Mancozeb or Carbendazim.","Neem or panchagavya.","Basic fungal disease in rice."
grape_black_rot,Black Rot,Grape,"Dark sunken lesions","Remove infected berries.","Captan or Mancozeb.","Neem + compost tea.","Severe in wet weather."
grape_esca_black_measles,Esca (Black Measles),Grape,"Tiger-striped leaves, berry shrivel","Remove infected wood.","No chemical cure; trunk injections sometimes used.","Neem + silica sprays.","Chronic vine disease."
grape_leaf_blight,Leaf Blight,Grape,"Large brown necrotic lesions","Improve airflow.","Mancozeb or Chlorothalonil.","Neem spray.","Keep vineyard clean."
groundnut_early_leaf_spot,Early Leaf Spot,Groundnut,"Dark brown spots with yellow halo","Remove infected leaves.","Chlorothalonil.","Neem oil.","Common in humid seasons."
groundnut_late_leaf_spot,Late Leaf Spot,Groundnut,"Dark spots on older leaves","Improve spacing.","Mancozeb.","Neem kernel extract.","Serious late-season disease."
groundnut_nutrition_deficiency,Nutrient Deficiency,Groundnut,"General yellowing","Apply balanced fertilizers.","NPK as per soil test.","Compost, vermicompost.","Check soil pH."
groundnut_rust,Groundnut Rust,Groundnut,"Brown rust pustules","Remove infected leaves.","Propiconazole.","Neem weekly.","Favored in humid weather."
guava_anthracnose,Anthracnose,Guava,"Dark sunken fruit spots","Remove infected fruits.","Carbendazim.","Neem + ginger extract.","Keep orchard clean."
guava_fruit_fly,Fruit Fly,Guava,"Fruit larvae, punctures","Use traps, remove infected fruit.","No direct fungicides.","Use pheromone traps.","Common pest problem."
healthy_apple,Healthy,Apple,"No visible disease","No action needed.","None.","None.","Healthy leaf."
healthy_bean,Healthy,Bean,"No visible disease","No action needed.","None.","None.","Healthy leaf."
healthy_corn,Healthy,Corn,"No visible disease","No action needed.","None.","None.","Healthy leaf."
healthy_cotton,Healthy,Cotton,"No visible disease","No action needed.","None.","None.","Healthy leaf."
healthy_rice,Healthy,Rice,"No visible disease","No action needed.","None.","None.","Healthy leaf."
tomato_bacterial_spot,Bacterial Spot,Tomato,"Brown water-soaked spots","Remove affected leaves.","Copper fungicides.","Neem oil.","Avoid overhead irrigation."
tomato_early_blight,Early Blight,Tomato,"Concentric brown rings","Remove infected leaves.","Chlorothalonil or Mancozeb.","Neem + baking soda.","Classic tomato disease."
tomato_late_blight,Late Blight,Tomato,"Large dark greasy patches","Remove infected leaves and stems.","Metalaxyl or Propamocarb.","Neem oil 1%.","Explosive disease in wet weather."
tomato_yellow_leaf_curl_virus,YLCV,Tomato,"Yellow curling leaves","Remove infected plants.","No chemical cure.","Neem + sticky traps.","Spread by whiteflies."
wheat_brown_rust,Brown Rust,Wheat,"Orange-brown pustules","Remove affected leaves.","Propiconazole.","Neem weekly.","Favored in cool weather."
wheat_fusarium_head_blight,Fusarium Head Blight,Wheat,"Pink mold on heads","Improve airflow.","Tebuconazole.","Neem extract.","Mycotoxin risk."
wheat_yellow_rust,Yellow Rust,Wheat,"Bright yellow stripes","Remove infected leaves.","Propiconazole or Mancozeb.","Neem oil.","Favored by cool humid conditions."
